format,level,variable,target,iskey
nmdbioticv1.1,fishstation,serialno ,Station,
nmdbioticv1.1,fishstation,nation ,Station,
nmdbioticv1.1,fishstation,platform ,Station,
nmdbioticv1.1,fishstation,station ,Station,
nmdbioticv1.1,fishstation,fixedstation ,Station,
nmdbioticv1.1,fishstation,startdate.fishstation ,Station,
nmdbioticv1.1,fishstation,starttime ,Station,
nmdbioticv1.1,fishstation,stopdate.fishstation ,Station,
nmdbioticv1.1,fishstation,stoptime ,Station,
nmdbioticv1.1,fishstation,stationtype ,Station,
nmdbioticv1.1,fishstation,latitudestart ,Station,
nmdbioticv1.1,fishstation,longitudestart ,Station,
nmdbioticv1.1,fishstation,latitudeend ,Station,
nmdbioticv1.1,fishstation,longitudeend ,Station,
nmdbioticv1.1,fishstation,system ,Station,
nmdbioticv1.1,fishstation,area ,Station,
nmdbioticv1.1,fishstation,location ,Station,
nmdbioticv1.1,fishstation,bottomdepthstart ,Station,
nmdbioticv1.1,fishstation,bottomdepthstop ,Station,
nmdbioticv1.1,fishstation,fishingdepthmax,Haul,
nmdbioticv1.1,fishstation,fishingdepthmin,Haul,
nmdbioticv1.1,fishstation,fishingdepthmean,Haul,
nmdbioticv1.1,fishstation,gearno,Haul,
nmdbioticv1.1,fishstation,gear,Haul,
nmdbioticv1.1,fishstation,gearcount,Haul,
nmdbioticv1.1,fishstation,direction,Haul,
nmdbioticv1.1,fishstation,gearspeed,Haul,
nmdbioticv1.1,fishstation,startlog,Station,
nmdbioticv1.1,fishstation,stoplog,Station,
nmdbioticv1.1,fishstation,distance,Haul,
nmdbioticv1.1,fishstation,gearcondition,Haul,
nmdbioticv1.1,fishstation,trawlquality,Haul,
nmdbioticv1.1,fishstation,trawlopening,Haul,
nmdbioticv1.1,fishstation,trawlopeningsd,Haul,
nmdbioticv1.1,fishstation,doorspread,Haul,
nmdbioticv1.1,fishstation,doorspreadsd,Haul,
nmdbioticv1.1,fishstation,wirelength,Haul,
nmdbioticv1.1,fishstation,soaktime,Haul,
nmdbioticv1.1,fishstation,tripno,Station,
nmdbioticv1.1,fishstation,fishabundance,Station,
nmdbioticv1.1,fishstation,fishdistribution,Station,
nmdbioticv1.1,fishstation,landingsite,Station,
nmdbioticv1.1,fishstation,fishingground,Station,
nmdbioticv1.1,fishstation,countofvessels,Station,
nmdbioticv1.1,fishstation,dataquality,Haul,
nmdbioticv1.1,fishstation,haulvalidity,Haul,
nmdbioticv1.1,fishstation,flora,Station,
nmdbioticv1.1,fishstation,vegetationcover,Station,
nmdbioticv1.1,fishstation,visibility,Station,
nmdbioticv1.1,fishstation,flowcount,Station,
nmdbioticv1.1,fishstation,flowconst,Station,
nmdbioticv1.1,fishstation,comment,Station,
nmdbioticv1.1,catchsample,species,SpeciesCategory,
nmdbioticv1.1,catchsample,samplenumber,Sample,
nmdbioticv1.1,catchsample,noname,SpeciesCategory,
nmdbioticv1.1,catchsample,aphia,SpeciesCategory,
nmdbioticv1.1,catchsample,sampletype,Sample,
nmdbioticv1.1,catchsample,group,Sample,
nmdbioticv1.1,catchsample,conservation,Sample,
nmdbioticv1.1,catchsample,producttype,Sample,
nmdbioticv1.1,catchsample,weight,Sample,
nmdbioticv1.1,catchsample,volume,Sample,
nmdbioticv1.1,catchsample,count,Sample,
nmdbioticv1.1,catchsample,abundancecategory,Sample,
nmdbioticv1.1,catchsample,sampleproducttype,Sample,
nmdbioticv1.1,catchsample,lengthmeasurement,Sample,
nmdbioticv1.1,catchsample,lengthsampleweight,Sample,
nmdbioticv1.1,catchsample,lengthsamplevolume,Sample,
nmdbioticv1.1,catchsample,lengthsamplecount,Sample,
nmdbioticv1.1,catchsample,specimensamplecount,Sample,
nmdbioticv1.1,catchsample,raisingfactor,Sample,
nmdbioticv1.1,catchsample,agingstructure,Sample,
nmdbioticv1.1,catchsample,parasite,Sample,
nmdbioticv1.1,catchsample,stomach,Sample,
nmdbioticv1.1,catchsample,genetics,Sample,
nmdbioticv1.1,catchsample,foreignobject,SpeciesCategory,
nmdbioticv1.1,catchsample,comment.catchsample,Sample,
